Product_ID,Product_Category,Orders,Actual_Returns,Avg_Risk_Score,Actual_Return_Rate_%
PROD0173,Clothing,11,4,0.521,36.36
PROD0411,Clothing,11,1,0.521,9.09
PROD0300,Electronics,12,6,0.52,50.0
PROD0434,Electronics,10,4,0.52,40.0
PROD0463,Clothing,13,6,0.52,46.15
PROD0464,Toys,11,3,0.52,27.27
PROD0341,Books,7,2,0.52,28.57
PROD0315,Clothing,10,3,0.52,30.0
PROD0323,Books,10,4,0.52,40.0
PROD0205,Home Appliances,4,1,0.52,25.0
PROD0009,Home Appliances,10,2,0.519,20.0
PROD0133,Electronics,7,2,0.519,28.57
PROD0074,Toys,13,1,0.519,7.69
PROD0390,Clothing,10,2,0.519,20.0
PROD0232,Clothing,7,1,0.519,14.29
PROD0417,Clothing,8,0,0.519,0.0
PROD0033,Clothing,10,4,0.518,40.0
PROD0353,Books,11,2,0.518,18.18
PROD0376,Electronics,11,3,0.518,27.27
PROD0060,Electronics,9,2,0.518,22.22
PROD0100,Toys,12,5,0.518,41.67
PROD0111,Books,6,0,0.518,0.0
PROD0288,Home Appliances,14,2,0.518,14.29
PROD0097,Clothing,10,4,0.518,40.0
PROD0067,Clothing,9,3,0.517,33.33
PROD0086,Clothing,13,5,0.517,38.46
PROD0278,Clothing,7,3,0.517,42.86
PROD0162,Electronics,7,2,0.517,28.57
PROD0362,Toys,13,4,0.517,30.77
PROD0184,Clothing,11,5,0.516,45.45
PROD0019,Clothing,6,1,0.516,16.67
PROD0388,Books,10,5,0.516,50.0
PROD0153,Clothing,7,2,0.515,28.57
PROD0292,Electronics,7,1,0.514,14.29
PROD0295,Electronics,14,7,0.514,50.0
PROD0225,Books,8,2,0.514,25.0
PROD0080,Toys,11,7,0.514,63.64
PROD0321,Clothing,11,4,0.514,36.36
PROD0247,Home Appliances,11,3,0.514,27.27
PROD0407,Clothing,6,3,0.513,50.0
PROD0218,Books,13,4,0.513,30.77
PROD0007,Books,11,2,0.513,18.18
PROD0169,Clothing,7,1,0.513,14.29
PROD0041,Toys,19,4,0.512,21.05
PROD0322,Toys,5,0,0.512,0.0
PROD0229,Toys,9,3,0.512,33.33
PROD0499,Clothing,8,1,0.512,12.5
PROD0306,Electronics,10,3,0.512,30.0
PROD0291,Electronics,9,1,0.512,11.11
PROD0419,Toys,13,4,0.512,30.77
PROD0404,Books,11,0,0.511,0.0
PROD0075,Clothing,11,3,0.511,27.27
PROD0485,Toys,11,3,0.51,27.27
PROD0108,Electronics,10,2,0.51,20.0
PROD0192,Toys,9,3,0.51,33.33
PROD0166,Clothing,13,5,0.51,38.46
PROD0338,Toys,11,5,0.51,45.45
PROD0343,Books,13,5,0.51,38.46
PROD0250,Clothing,10,2,0.51,20.0
PROD0055,Home Appliances,12,5,0.51,41.67
PROD0103,Home Appliances,13,6,0.509,46.15
PROD0029,Clothing,10,3,0.509,30.0
PROD0043,Clothing,7,0,0.509,0.0
PROD0262,Toys,8,1,0.509,12.5
PROD0387,Clothing,13,2,0.509,15.38
PROD0337,Electronics,5,1,0.509,20.0
PROD0277,Home Appliances,11,2,0.509,18.18
PROD0020,Home Appliances,15,2,0.508,13.33
PROD0077,Books,8,4,0.508,50.0
PROD0045,Electronics,7,0,0.508,0.0
PROD0310,Clothing,9,2,0.507,22.22
PROD0481,Clothing,8,3,0.507,37.5
PROD0034,Clothing,7,3,0.507,42.86
PROD0309,Home Appliances,13,2,0.506,15.38
PROD0160,Clothing,6,1,0.506,16.67
PROD0044,Books,15,5,0.506,33.33
PROD0002,Toys,21,6,0.506,28.57
PROD0047,Toys,8,2,0.506,25.0
PROD0180,Electronics,10,5,0.506,50.0
PROD0495,Clothing,7,2,0.506,28.57
PROD0125,Toys,13,6,0.506,46.15
PROD0126,Clothing,17,4,0.505,23.53
PROD0431,Electronics,7,3,0.505,42.86
PROD0483,Clothing,7,3,0.505,42.86
PROD0351,Electronics,11,3,0.505,27.27
PROD0222,Electronics,11,4,0.505,36.36
PROD0159,Home Appliances,13,4,0.505,30.77
PROD0271,Home Appliances,5,0,0.505,0.0
PROD0210,Electronics,6,3,0.504,50.0
PROD0054,Toys,8,3,0.504,37.5
PROD0302,Clothing,12,4,0.503,33.33
PROD0233,Books,13,0,0.503,0.0
PROD0331,Clothing,13,3,0.503,23.08
PROD0382,Electronics,7,1,0.503,14.29
PROD0294,Clothing,9,4,0.502,44.44
PROD0131,Electronics,8,4,0.502,50.0
PROD0165,Clothing,8,2,0.502,25.0
PROD0114,Electronics,15,3,0.502,20.0
PROD0453,Home Appliances,10,3,0.502,30.0
PROD0098,Clothing,13,1,0.501,7.69
PROD0290,Clothing,7,2,0.501,28.57
PROD0420,Electronics,9,3,0.501,33.33
PROD0484,Books,16,6,0.5,37.5
PROD0196,Electronics,6,1,0.5,16.67
PROD0167,Books,13,7,0.5,53.85
PROD0334,Clothing,15,4,0.5,26.67
PROD0317,Electronics,10,1,0.5,10.0
PROD0137,Home Appliances,9,6,0.5,66.67
PROD0437,Electronics,15,3,0.5,20.0
PROD0106,Clothing,9,3,0.5,33.33
PROD0416,Electronics,12,6,0.5,50.0
PROD0235,Clothing,8,3,0.5,37.5
